               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03119,           0.0071535,           0.0018471,             0.88755,             0.87072,             0.90692,             0.55337,            0.031007,           0.0078334,           0.0026523,            0.008317,            0.008317,            0.008317
                  36,            0.031074,           0.0074906,           0.0017554,             0.96775,             0.97719,             0.98519,             0.65883,            0.024993,           0.0060522,           0.0011196,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030455,           0.0074225,           0.0015339,             0.80683,             0.68767,             0.77908,              0.4421,            0.036725,           0.0096416,           0.0099354,            0.008218,            0.008218,            0.008218
                  38,            0.030608,            0.007252,           0.0014613,             0.93801,             0.96376,             0.97386,             0.63246,            0.026789,           0.0061105,          0.00092602,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029938,            0.007086,           0.0013798,             0.94214,              0.9073,             0.95045,             0.59115,            0.030368,           0.0072163,           0.0018135,            0.008119,            0.008119,            0.008119
                  40,             0.02986,           0.0070729,           0.0014072,             0.95847,             0.96032,             0.97651,             0.63834,            0.026871,           0.0061054,          0.00087715,           0.0080695,           0.0080695,           0.0080695
                  41,             0.02971,           0.0073158,            0.001426,             0.60374,             0.59146,             0.62277,             0.37544,            0.041972,            0.012595,           0.0099227,             0.00802,             0.00802,             0.00802
                  42,            0.029338,           0.0070021,             0.00147,             0.95302,             0.97606,             0.98078,             0.64115,            0.025655,           0.0060397,          0.00085977,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029427,           0.0072502,            0.001391,             0.94355,             0.88181,             0.92484,             0.56726,             0.02927,           0.0074318,            0.003736,            0.007921,            0.007921,            0.007921
                  44,            0.029228,           0.0068541,           0.0013139,             0.92337,              0.9248,             0.95145,               0.601,            0.027335,           0.0068532,           0.0012626,           0.0078715,           0.0078715,           0.0078715
                  45,            0.029662,           0.0071048,           0.0013324,             0.96213,             0.94463,             0.97616,             0.65094,            0.025306,           0.0061754,          0.00077083,            0.007822,            0.007822,            0.007822
                  46,            0.029258,           0.0070491,           0.0014329,             0.97045,             0.96221,              0.9852,             0.65194,            0.025457,            0.006092,          0.00084456,           0.0077725,           0.0077725,           0.0077725
                  47,            0.029033,           0.0069458,            0.001307,             0.92468,             0.98286,             0.98142,             0.63114,            0.027394,           0.0063088,           0.0014648,            0.007723,            0.007723,            0.007723
                  48,              0.0293,           0.0070455,           0.0014421,             0.92224,             0.85968,              0.9183,             0.55631,            0.031023,           0.0079713,           0.0021113,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028401,           0.0068244,           0.0012038,             0.93885,             0.93522,             0.95528,              0.6111,            0.026104,           0.0064054,          0.00094886,            0.007624,            0.007624,            0.007624
                  50,            0.028702,           0.0068976,           0.0012324,             0.94818,              0.9582,             0.98068,             0.65867,            0.024801,            0.005889,          0.00080959,           0.0075745,           0.0075745,           0.0075745
                  51,            0.028525,           0.0069595,            0.001325,              0.9281,             0.88229,             0.93886,             0.60535,            0.029042,            0.007562,           0.0024662,            0.007525,            0.007525,            0.007525
                  52,             0.02822,           0.0068549,           0.0015242,             0.83955,             0.74274,             0.82653,             0.45493,            0.036512,            0.011621,            0.012243,           0.0074755,           0.0074755,           0.0074755
                  53,            0.028559,           0.0068214,           0.0014366,              0.9755,             0.91741,             0.97113,             0.61657,            0.027203,           0.0066661,           0.0012675,            0.007426,            0.007426,            0.007426
                  54,            0.027787,           0.0068603,           0.0011101,             0.96578,             0.97324,             0.98549,             0.66505,            0.024581,            0.005976,          0.00072159,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027941,           0.0067042,           0.0010877,             0.93557,             0.95576,              0.9698,             0.64282,            0.025641,           0.0062947,          0.00084389,            0.007327,            0.007327,            0.007327
                  56,            0.027891,           0.0070205,          0.00098312,             0.94125,             0.97597,              0.9849,             0.67779,            0.024178,           0.0057853,          0.00063471,           0.0072775,           0.0072775,           0.0072775
                  57,            0.027918,           0.0067315,          0.00098948,             0.95274,             0.95545,             0.96875,              0.6251,            0.026602,            0.006361,          0.00083773,            0.007228,            0.007228,            0.007228
                  58,            0.028112,            0.006625,           0.0012066,             0.96759,             0.97901,             0.98798,             0.66937,            0.024376,           0.0057007,          0.00065279,           0.0071785,           0.0071785,           0.0071785
                  59,            0.028039,           0.0067519,           0.0012553,             0.95604,             0.97595,              0.9808,             0.63547,            0.025344,           0.0059733,          0.00071787,            0.007129,            0.007129,            0.007129
                  60,            0.027645,           0.0067216,           0.0011951,             0.90924,             0.92692,              0.9641,             0.63869,            0.026596,              0.0069,           0.0010864,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027574,           0.0066859,           0.0013974,             0.92996,             0.94863,             0.98013,             0.63512,            0.025154,            0.006164,           0.0010948,             0.00703,             0.00703,             0.00703
                  62,            0.027878,            0.006767,           0.0011907,             0.97017,             0.98342,             0.98706,             0.66289,            0.023763,           0.0056736,          0.00062389,           0.0069805,           0.0069805,           0.0069805
