               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.021825,           0.0058563,          0.00046991,             0.97837,             0.98687,             0.99085,             0.71839,            0.021002,           0.0052487,          0.00025589,            0.002476,            0.002476,            0.002476
                 154,            0.021595,           0.0057058,          0.00056629,             0.97906,             0.97947,             0.99055,             0.71506,            0.021359,           0.0052754,          0.00025815,           0.0024265,           0.0024265,           0.0024265
                 155,            0.021418,           0.0056806,          0.00048424,             0.97589,             0.98782,             0.99059,             0.71966,            0.021408,           0.0053699,          0.00024265,            0.002377,            0.002377,            0.002377
                 156,            0.021441,           0.0056627,          0.00055451,             0.97438,             0.99028,             0.99117,             0.72419,            0.020944,           0.0052414,          0.00026101,           0.0023275,           0.0023275,           0.0023275
                 157,             0.02104,           0.0056228,          0.00053336,             0.97643,             0.98652,             0.99186,             0.71439,            0.020909,           0.0052353,          0.00024954,            0.002278,            0.002278,            0.002278
                 158,            0.021037,           0.0055721,          0.00046179,             0.97142,             0.99005,             0.99117,             0.71637,            0.021184,            0.005305,          0.00025076,           0.0022285,           0.0022285,           0.0022285
                 159,            0.021224,           0.0056829,          0.00045318,             0.98026,             0.98435,              0.9916,             0.71659,             0.02114,           0.0052628,          0.00022372,            0.002179,            0.002179,            0.002179
                 160,            0.021111,           0.0055386,          0.00051606,             0.98097,             0.98494,             0.99193,             0.71997,            0.021086,           0.0052595,          0.00021798,           0.0021295,           0.0021295,           0.0021295
                 161,              0.0209,           0.0056285,          0.00058582,             0.98227,             0.98461,             0.99182,             0.71873,            0.020796,           0.0052206,          0.00022652,             0.00208,             0.00208,             0.00208
                 162,            0.020877,           0.0057146,          0.00056167,             0.98159,             0.98319,             0.99116,             0.71926,            0.021131,           0.0052619,          0.00022592,           0.0020305,           0.0020305,           0.0020305
                 163,            0.020633,            0.005559,          0.00048933,             0.97865,              0.9882,             0.99177,             0.72145,            0.020855,           0.0052354,          0.00021341,            0.001981,            0.001981,            0.001981
                 164,            0.020603,           0.0054953,          0.00038389,             0.97768,             0.98876,             0.99177,             0.72235,            0.020724,           0.0052161,          0.00019348,           0.0019315,           0.0019315,           0.0019315
                 165,            0.020777,           0.0054919,          0.00054211,             0.97803,             0.98925,             0.99136,             0.72156,             0.02098,            0.005255,          0.00020155,            0.001882,            0.001882,            0.001882
                 166,            0.020312,           0.0054756,          0.00047152,             0.97889,              0.9868,             0.99113,             0.71779,            0.021077,           0.0052804,           0.0002071,           0.0018325,           0.0018325,           0.0018325
                 167,             0.02056,           0.0055946,            0.000487,             0.98001,             0.98651,             0.99118,             0.72171,            0.020934,           0.0052425,          0.00020902,            0.001783,            0.001783,            0.001783
                 168,            0.020477,           0.0056045,           0.0004555,              0.9822,              0.9855,             0.99146,             0.72421,            0.020825,           0.0052239,          0.00018036,           0.0017335,           0.0017335,           0.0017335
                 169,            0.020577,           0.0054762,          0.00054556,             0.97926,             0.98773,             0.99128,             0.71874,            0.021006,           0.0052648,          0.00019413,            0.001684,            0.001684,            0.001684
                 170,            0.020712,           0.0054676,          0.00054199,             0.97749,              0.9885,             0.99084,              0.7227,             0.02106,           0.0052869,           0.0002046,           0.0016345,           0.0016345,           0.0016345
                 171,            0.020529,           0.0055374,           0.0005146,             0.97757,             0.98741,             0.99112,             0.72624,            0.020866,           0.0052655,          0.00020311,            0.001585,            0.001585,            0.001585
                 172,            0.020965,           0.0056623,          0.00047485,             0.97695,              0.9889,             0.99115,             0.72156,            0.020994,           0.0052823,          0.00019581,           0.0015355,           0.0015355,           0.0015355
                 173,            0.020309,           0.0053116,           0.0004777,             0.97925,              0.9882,             0.99124,             0.72671,            0.020758,           0.0052231,          0.00019918,            0.001486,            0.001486,            0.001486
                 174,            0.019979,           0.0054961,          0.00040261,             0.97955,             0.98685,             0.99129,             0.72767,              0.0208,           0.0052192,          0.00019051,           0.0014365,           0.0014365,           0.0014365
                 175,            0.020443,           0.0056401,          0.00066549,             0.97767,             0.98871,             0.99117,             0.72216,             0.02082,           0.0052439,          0.00020974,            0.001387,            0.001387,            0.001387
                 176,            0.020186,           0.0053556,          0.00040865,             0.97869,             0.98881,             0.99075,             0.71899,            0.020774,            0.005249,          0.00020484,           0.0013375,           0.0013375,           0.0013375
                 177,            0.019944,           0.0055355,          0.00035967,             0.98133,             0.98473,             0.99086,             0.72387,            0.020817,           0.0052405,          0.00017268,            0.001288,            0.001288,            0.001288
                 178,            0.020019,           0.0054178,           0.0003377,             0.98227,             0.98461,              0.9909,             0.72139,            0.020921,           0.0052606,          0.00015911,           0.0012385,           0.0012385,           0.0012385
                 179,            0.019894,           0.0052949,          0.00039883,             0.98291,              0.9851,             0.99103,             0.72505,            0.020948,           0.0052526,           0.0001517,            0.001189,            0.001189,            0.001189
                 180,            0.020125,           0.0053995,          0.00033255,             0.97992,             0.98734,             0.99117,             0.72265,            0.020929,           0.0052553,          0.00015398,           0.0011395,           0.0011395,           0.0011395
                 181,            0.020003,           0.0055635,           0.0004138,             0.98066,             0.98649,             0.99085,             0.72441,            0.020916,            0.005256,          0.00015995,             0.00109,             0.00109,             0.00109
                 182,            0.019916,           0.0054134,          0.00044734,             0.97936,             0.98784,             0.99126,             0.72563,            0.020892,           0.0052542,          0.00016546,           0.0010405,           0.0010405,           0.0010405
                 183,            0.019817,           0.0055476,          0.00043079,             0.98119,              0.9853,             0.99107,             0.72003,             0.02101,           0.0052794,          0.00017632,            0.000991,            0.000991,            0.000991
                 184,            0.019175,           0.0053999,          0.00033304,             0.98252,             0.98512,             0.99149,             0.72576,            0.020826,           0.0052475,          0.00016752,           0.0009415,           0.0009415,           0.0009415
                 185,            0.019426,           0.0053606,          0.00048151,             0.98265,             0.98402,             0.99174,              0.7258,            0.020767,           0.0052438,          0.00015114,            0.000892,            0.000892,            0.000892
                 186,            0.019503,           0.0054567,          0.00053717,             0.98154,             0.98456,             0.99154,             0.72487,            0.020761,           0.0052552,          0.00014958,           0.0008425,           0.0008425,           0.0008425
                 187,            0.019694,           0.0054591,          0.00047317,             0.98105,             0.98568,             0.99138,             0.72003,            0.020754,           0.0052592,          0.00015114,            0.000793,            0.000793,            0.000793
                 188,            0.019434,           0.0052785,          0.00043266,             0.98028,             0.98633,             0.99139,             0.72494,            0.020705,           0.0052423,          0.00014843,           0.0007435,           0.0007435,           0.0007435
                 189,            0.019375,           0.0051394,          0.00036487,             0.98245,             0.98469,             0.99153,             0.72077,            0.020847,           0.0052623,          0.00014458,            0.000694,            0.000694,            0.000694
                 190,            0.019502,           0.0052803,          0.00028528,             0.98057,             0.98634,              0.9915,             0.72658,            0.020888,           0.0052655,          0.00013272,           0.0006445,           0.0006445,           0.0006445
                 191,            0.018824,           0.0051712,          0.00039994,             0.98019,             0.98693,             0.99145,             0.73102,            0.020775,           0.0052476,          0.00012909,            0.000595,            0.000595,            0.000595
                 192,            0.019335,           0.0052169,          0.00052116,             0.97993,             0.98703,             0.99142,              0.7284,            0.020768,           0.0052528,          0.00013119,           0.0005455,           0.0005455,           0.0005455
                 193,            0.018948,           0.0053121,          0.00053629,             0.98051,             0.98647,             0.99135,             0.72649,            0.020908,           0.0052787,          0.00013181,            0.000496,            0.000496,            0.000496
                 194,            0.018755,           0.0051701,          0.00030799,             0.98024,             0.98631,             0.99148,             0.72817,            0.020825,           0.0052692,          0.00013149,           0.0004465,           0.0004465,           0.0004465
                 195,            0.018865,           0.0053549,          0.00028964,             0.98002,             0.98699,             0.99143,             0.72285,            0.020733,           0.0052498,          0.00012045,            0.000397,            0.000397,            0.000397
                 196,            0.019176,            0.005407,          0.00029219,             0.97962,             0.98738,             0.99162,             0.72692,            0.020713,           0.0052531,          0.00011125,           0.0003475,           0.0003475,           0.0003475
                 197,            0.019056,            0.005265,          0.00044449,             0.98046,             0.98651,             0.99159,             0.72998,            0.020753,           0.0052678,          0.00010535,            0.000298,            0.000298,            0.000298
                 198,            0.019015,           0.0053142,          0.00040836,             0.98051,              0.9868,             0.99167,             0.73012,            0.020725,           0.0052614,            0.000102,           0.0002485,           0.0002485,           0.0002485
                 199,            0.018951,           0.0052199,          0.00033458,             0.98017,             0.98663,             0.99141,             0.72568,            0.020707,           0.0052563,          9.9708e-05,            0.000199,            0.000199,            0.000199
